,Unnamed: 0,season,episode_number,episode_title,author,quote
32759,40026,7,15,Joey`s New Brain,Rachel,Oh hey-hey wait! How do we fairly decide who gets the phone?
20539,25914,5,9,Ross`s Sandwich,Ross,(jumping to his feet in anger) What?
20257,25541,5,8,The Thanksgiving Flashbacks,Ross,I`m sorry. It`s just that this is the worse Thanksgiving ever.
34968,42650,7,23,Chandler And Monica`s Wedding,Joey,"We good? Yeah? Good? Once again, I pronounce you husband and wife. (To Chandler) Now kiss her again."
1792,2203,1,10,The Monkey,Rachel,"Oh, he is precious! Where did you get him?"
27944,34337,6,18,Ross Dates A Student,Rachel,I have.
1445,1759,1,8,Nana Dies Twice,Chandler,WHAT IS IT?!
13681,17668,3,24,The Ultimate Fighting Champion,Chandler,"Nine times! Okay, I had to put on lotion! But, its gonna be okay, because as of tomorrow Im conducting an experiment, and if all goes as planned, my butt will be smack free."
35988,43904,8,4,The Videotape,Ross,"Yeah. Listen about that, the whole uh, who came on to who thing really doesnt matter. I mean, I think it wouldve happened either way. I mean if you hadnt initiated it I-I-I know I wouldve."
36162,44114,8,5,Rachel`s Date,Ross,Hi. I-I hear youre going on a ferry tonight.
16897,21602,4,15,All The Rugby,Joey,"Ohhhh, good one! And Yemen that actually sounds like a real country."
21350,26825,5,13,Joey`s Bag,Phoebe,But
4113,5365,1,22,The Ick Factor,Chandler,Tyrannosaurus!
32456,39661,7,13,Rosita Dies,Phoebe,Yes.
33411,40826,7,17,The Cheap Wedding Dress,Monica,"Well umm, we were just talking about the yknow, the Swing Kings and just wondering whether yknow, they were the right way to go."
436,549,1,3,The Thumb,Monica,"Uh, no. Loosely translated `We should do this again` means `You will never see me naked`."
45173,55074,10,1,Joey and Rachel Kiss,Rachel,"Yeah... (still looking to see where Joey went, and opens the door)"
30479,37334,7,4,Rachel`s Assistant,Chandler,That was you!
11021,14215,3,11,Chandler Can`t Remember Which Sister,Rachel,"(to Ross) Yeah, right. Look at you, youre practically giddy."
11073,14284,3,11,Chandler Can`t Remember Which Sister,Chandler,"Okay, absolutely!"
6596,8942,2,12,The Superbowl,Joey,Aaaaagggghhhhh.
12680,16325,3,19,The Tiny T-Shirt,Joey,"Well, why dont you tell me what youre supposed to be! Huh? Because I sure as hell cant figure it out! I talk to you and its nothin. You look at me, and nothin. (He kisses her, more passionately this time) Nothing."
29906,36709,7,2,Rachel`s Book,Joey,"Yes it is perfectly good, and it is not one of the places the duck got sick!"
27653,34012,6,17,Unagi,Chandler,"(reminiscing) Ah, finally an explanation."
21623,27134,5,14,Everybody Finds Out,Chandler,"Yeah, listen, Joey isn`t gonna be here tonight so why don`t you come over and I`ll let you uh, feel my bicep. Or maybe more."
49144,59881,10,17,"The Last One, Part I & II",Joey,"Oh, you`re not taking her with you tonight?"
17321,22160,4,17,The Free Porn,Phoebe,"No-no, I know that, but I just have to make enough money for the second part of my plan."
37295,45568,8,10,Monica`s Boots,Chandler,"Honey, are you seriously ever gonna wear the boots again?"
34557,42137,7,22,Chandler`s Dad,Joey,"Yeah! Much! Listen uh, not that Im yknow insecure about my manhood or anything yknow, but I think I need to hook up with a woman like right now."
4327,5690,1,23,The Birth,Phoebe,"(from the air vent overhead) You guys, he`s beautiful!"
17517,22434,4,18,Rachel`s New Dress,Chandler,I have no name.
29112,35820,6,23,The Ring,Joey,"Oh its water under the bridge, forget it!"
35589,43470,8,3,Rachel Tells...,Ross,"Well, we-we said wed just do it that one time but, but now I think she may wanna start things up again."
18136,23132,4,21,The Invitation,Ross,"Yeah, oh hey, you are right on time."
39635,48276,8,22,Rachel Is Late,Ross,"Rach, we gotta go."
8764,11575,3,1,The Princess Leia Fantasy,Phoebe,"Maybe, because you told him not to."
5503,7069,2,5,Five Steaks And An Eggplant,Rachel,Who gave you that hickey?
23581,29420,5,22,Joey`s Big Break,Ross,"Hey Rach, can you pass me the TV Guide?"
22957,28699,5,20,The Ride Along,Chandler,I do not hate Ross!
48824,59521,10,16,Rachel`s Going Away Party,Joey,(entering the room) Hey.
48133,58659,10,13,Joey Speaks French,Ross,And I`m Doctor Ross Geller.
30015,36838,7,2,Rachel`s Book,Monica,Hey.
12401,15928,3,18,The Hypnosis Tape,Phoebe,"Yeah, I do, yeah."
45072,54960,9,23,In Barbados,Monica,I can`t believe it! (pause) I lost!
15271,19640,4,7,Chandler Crosses The Line,Joey,"Well, youre timing couldnt be better. Shes not my girlfriend anymore."
38806,47248,8,18,In Massapequa,Ross,Sure. Yeah.
6225,8419,2,11,The Lesbian Wedding,Monica,"All right people, we`re in trouble here. We`ve only got 12 hours and 36 minutes left. Move, move, move!"
7716,10258,2,19,Eddie Won`t Go,Ross,"[enters] Oh my God, what`s goin` on?"
4415,5785,1,24,Rachel Finds Out,Ross,"No no, this big pile of dishes in my mom`s breakfront. Do you guys know who Carl is?"
6896,9276,2,15,Ross And Rachel... You Know,Ross,Hey.
5735,7449,2,7,Ross Finds Out,Ross,[perky] I`ll be right down.
9134,11978,3,2,No One`s Ready,Ross,Right. So is it gonna be like `I`m abandoning you while your upset.`
27790,34160,6,17,Unagi,Joey,"Okay, I know it sounds crazy, but I think it might work. Yknow? The only problem is, Carls acting is (Does the international hand symbol for so-so.)"
33582,41022,7,18,Joey`s Award,Rachel,Joey I dont think you know what behalf means.
3453,4537,1,19,The Monkey Gets Away,Chandler,Rachel lost Marcel.
34705,42322,7,23,Chandler And Monica`s Wedding,Phoebe,Oh my God! Chandler just left though!
26507,32683,6,11,The Apothecary Table,Chandler,"Hey so, did uh, did she move out?"
46709,57022,10,7,The Home Study,Rachel,whoo... ok... wow... ok... OH!
46652,56935,10,7,The Home Study,Joey,What`s going on?
25657,31663,6,7,Phoebe Runs,Monica,"All right, hold on okay? First thing`s first. (Gets her cleaning gloves on) Okay, now did Ross sit anywhere while he was naked?"
7760,10312,2,19,Eddie Won`t Go,Monica,Nice.
37528,45868,8,12,Joey Dates Rachel,Rachel,"Ooh, I miss dating. Gettin all dressed up and going to a fancy restaurant. Im not gonna be able to do that for so long, and its so much fun! I mean not that sitting at home worrying about giving birth to a sixteen pound baby is not fun."
10764,13917,3,10,Rachel Quits,Chandler,"Hes right, if you quit this job, you then have motivation to go after a job you really want."
10351,13441,3,8,The Giant Poking Device,Ross,And tell them what? The naked guy we stare at all the time isnt moving.
31045,37978,7,7,Ross`s Library Book,Monica,"Well, she actually has a boyfriend yknow herself, named Clark. Uh, she also kinda invited herself to our wedding. Clark too."
12048,15530,3,16,The Morning After,Chandler,"Y`know what, I think we can go out there. I mean they have more important things to worry about."
48503,59126,10,14,Princess Consuela,Ross,See? I told you something good would come along. And he seemed really nice. I`ve met him before?
30624,37514,7,5,The Engagement Picture,Ross,Yeah?
44317,53978,9,21,The Fertility Test,Monica,This was fun! But I`ve got an invasive vaginal exam to get to! (leaves)
45928,55994,10,4,The Cake,Chandler,Was that Emma? Is she up?
31964,39046,7,11,All The Cheesecakes,Phoebe,David! (He kisses her cheek) What-what are you doing here? Arent you supposed to be in Russia?
11750,15158,3,15,Ross And Rachel Take A Break,Rachel,"Ross honey, this is very nice, but, but I-I got a crisis."
29587,36386,6,24,"The Proposal, Part I & II",Rachel,"Oh hell, hes done this three times! He knows what its about!"
48388,58959,10,14,Princess Consuela,Rachel,"Yes, hi!"
21838,27369,5,15,The Girl Who Hits Joey,Phoebe,"Oh, hi Ross!"
35690,43592,8,3,Rachel Tells...,Monica,Yeah! You already got the first class tickets; you got the lounge! I mean we should get free stuff too! I mean youre not the only ones on your honeymoon!
10598,13718,3,9,The Football,Monica,What?! I just touched him and he went over.
24991,30951,6,5,Joey`s Porsche,Joey,"Well, I didnt realize until I got home. I wasnt gonna walk all the way back down here with one shoe! Yknow what? Im gonna go find that guys car and leave a note on the windshield. (Goes to do so.)"
8813,11624,3,1,The Princess Leia Fantasy,Monica,I know I do.
4802,6233,2,2,The Breast Milk,Chandler,"Come on, you`re going to Bloomingdale`s with Julie? That`s like cheating on Rachel in her house of worship."
41015,49925,9,4,The Sharks,Phoebe,WHAT!
5475,7035,2,5,Five Steaks And An Eggplant,Monica,That was amazing!
11602,14980,3,14,Phoebe`s Ex-Partner,Phoebe,"Oh, yeah!"
45422,55363,10,2,Ross Is Fine,Ross,"But if I hadn`t walked in here, would you..?"
27474,33817,6,15,"That Could Have Been, Part I & II",Monica,I was kidding.
47885,58379,10,12,Phoebe`s Wedding,Monica,"(very serious) It`s 2101 and I am not amused. (pause). Ok, the bride and groom have a few words they`d like to say. (Everyone sits and Phoebe gets up)"
7472,9944,2,18,Dr. Ramoray Dies,Ross,Really?
40395,49200,9,1,No One Proposes,Joey,"Well, this is awkward. {See? I told you so.}"
25806,31834,6,8,Ross`s Teeth,Rachel,"Oh no, no, no. Oh God, you think I made out with him."
15112,19456,4,7,Chandler Crosses The Line,Chandler,(shocked) What?
7191,9601,2,16,Joey Moves Out,Chandler,Yeah.
26675,32864,6,12,The Joke,Joey,"No, no, I didnt mean you. But, you believed me, huh?"
42061,51328,9,9,Rachel`s Phone Number,Chandler,"(thinks, then turns to Monica) I climb down the fire escape and you can`t put that in the closet?"
13976,18052,4,1,The Jellyfish,Ross,"Well, yeah. I cant-I cant stay here all night, and if I go in there shes-shes gonna wanna... do stuff."
29025,35706,6,23,The Ring,Rachel,"Oh thats right. Youre the talker. (They both reflect on that briefly) Anyway uh, great idea! Umm, I gotta go to the store; I told him that I would buy him some more tissues."
14799,19084,4,5,Joey`s New Girlfriend,Ross,Wow! You-you look great!
19264,24387,5,3,Hundredth,Phoebe,"It`s very weird! I don`t want some guy down there telling me, I`m y`know, dilatedamundo!"
24085,29975,6,1,Vegas,Rachel,I dont know. Do-do you have any clothes on?
385,452,1,2,The Sonogram At The End,Ross,"Okay, that`s great. (Susan gives her drink to Carol.) No, I`m- Oh."
40680,49502,9,3,The Pediatrician,Chandler,"Okay, our news. My company has asked me to head up our office in Tulsa , so as of Monday I`m being officially relocated."
31348,38347,7,8,Chandler Doesn`t Like Dogs,Rachel,"Okay, that`s gonna take them a minute. Do you have anything else you wanna get off your chest?"
10902,14086,3,11,Chandler Can`t Remember Which Sister,Rachel,"Oh well then, so Im just going to go back to talking to my friend here. And you can go back to enjoying your little hamburger."
5969,7894,2,9,Phoebe`s Dad,Phoebe,"OK, here I go... here I go... I`m goin`. [she just sits in the cab]"
8292,10978,2,22,The Two Parties,Rachel,"Ohh, thank you for the wonderful dinner."
33823,41308,7,19,Ross And Monica`s Cousin,Rachel,Thats great!
2574,3214,1,14,The Candy Hearts,Ross,She barely knows me. We just live in the same building.
36238,44211,8,5,Rachel`s Date,Rachel,Okay.
3888,5085,1,21,The Fake Monica,Monica,"Right. Till I bought a blow dryer, then I was shunned."
36457,44520,8,6,The Halloween Party,Joey,Thats not so bad.
20374,25713,5,8,The Thanksgiving Flashbacks,Rachel,Yeah.
35525,43406,8,3,Rachel Tells...,Chandler,"A Speedo? Uh, I dont have a Speedo. Im gonna go pack my regular long bathing suit. (Goes into the bedroom.)"
6088,8182,2,10,Russ,Ross,"Oh you do, do you?"
33131,40502,7,16,The Truth About London,Chandler,Two!
40824,49672,9,3,The Pediatrician,Joey,"Because I forgot about our date, I`m so sorry."
30983,37909,7,6,The Nap Partners,Rachel,Hi! I just want to apologize. Im really sorry I was a baby.
19052,24150,5,2,All The Kissing,Joey,"Hey, Pheebs!"
43061,52524,9,16,The Boob Job,Rachel,There is a hardware store right down the street?
4841,6288,2,2,The Breast Milk,Chandler,What did you just do?
31512,38534,7,9,All The Candy,Rachel,"Umm, I said I thought you were a good kisser, and uh, and that I like your tiney-tiny touchie."
14759,19037,4,5,Joey`s New Girlfriend,Rachel,"Yeah, she`s..."
34411,41937,7,22,Chandler`s Dad,Ross,In the death seat?!!
7059,9452,2,16,Joey Moves Out,Phoebe,"I don`t believe this. Is this how this relationship`s gonna work? Ross equals boss. I mean, c`mon what is this, 1922?"
33379,40794,7,17,The Cheap Wedding Dress,Monica,What am I gonna do?! That is the dress! That is the dress! WhChandler wants the band. What do I do?
13714,17710,3,24,The Ultimate Fighting Champion,Monica,Please tell me youre stopping now.
49494,60279,10,17,"The Last One, Part I & II",Monica,"Wait a minute. What about that summer during college that you lived with grandma, and you tried to make it as a dancer?"
7254,9670,2,17,Eddie Moves In,Chandler,That`s right my friend. It`s time for...
27079,33358,6,14,Chandler Can`t Cry,Monica,"Oh thats so sweet! Look Chandler I dont care if you cant cry, I love you."
41473,50476,9,6,The Male Nanny,Phoebe,"No, no, no, no, no... It`s not... it`s not... i`ts not as bad as it looks... really. I was just saying goodbye to an old friend."
13410,17261,3,23,Ross`s Thing,Joey,"Yeah, right."
45970,56045,10,4,The Cake,Chandler,(Also very excited) That sounds more fun than the thing we were going to do in Vermont!
23383,29202,5,22,Joey`s Big Break,Rachel,(jerks back from the tester) What?!
42791,52182,9,14,The Blind Dates,Phoebe,"Oh, yeah, they`re falling in love all over again."
27205,33508,6,15,"That Could Have Been, Part I & II",Ross,"No, its okay. Some-some kid asked me to pick it up for him, but I dont"
49133,59870,10,17,"The Last One, Part I & II",Joey,You can`t just give up! Is that what a dinosaur would do?
24190,30084,6,1,Vegas,Rachel,"Okay! So, well just stay married."
5595,7178,2,6,The Baby On The Bus,Rachel,What?
11143,14358,3,12,All The Jealousy,Ross,"Ah Joey, I don`t think you get to pick the cities."
1750,2157,1,9,Underdog Gets Away,Rachel,Aside from the fact that you said you had them?
40214,49001,9,1,No One Proposes,Chandler,"Again, what?!"
41781,50969,9,8,Rachel`s Other Sister,Chandler,Actually what?
5368,6920,2,5,Five Steaks And An Eggplant,Ross,"Monica`s big night, she shouldn`t pay."
25723,31733,6,8,Ross`s Teeth,Joey,"Hey. Uh, can I talk to you for a second? This, uh, kid in this picture. Do you, uh, know this kid? Is that like a relative or something?"
45620,55636,10,3,Ross`s Tan,Ross,"So, do you get colours or just French tips?"
33979,41485,7,20,Rachel`s Big Kiss,Rachel,It-it did!
5701,7306,2,6,The Baby On The Bus,Phoebe,Mmmm hmmm.
6927,9308,2,15,Ross And Rachel... You Know,Monica,No one.
3034,4077,1,17,"The Two Parts, Part II",Monica,We forgot to sign one of the admissions forms.
48180,58716,10,13,Joey Speaks French,Ross,Sorry. (Rachel sits on her bed). You ok?
17143,21937,4,16,The Fake Party,Rachel,"Well, Im sorry, I thought you needed them!"
9506,12418,3,4,The Metaphorical Tunnel,Rachel,Oh.
22440,28089,5,18,Rachel Smokes,Phoebe,"Yeah well, that`s `cause Monica put me in charge of cups and ice, and Monica is gonna rue the day that she put me in charge of cups and ice."
21672,27184,5,14,Everybody Finds Out,Phoebe,"No, I want this to happen."
1667,2057,1,9,Underdog Gets Away,Chandler,Yes. It`s very difficult to appreciate a Thanksgiving dinner once you`ve seen it in reverse.
10255,13330,3,8,The Giant Poking Device,Joey,Ive got a science question.
33407,40822,7,17,The Cheap Wedding Dress,Chandler,Joey got meat sauce on the banister again! (He goes into the bathroom to wash his hands.)
25271,31258,6,6,On The Last Night,Phoebe,"You guys, we said we were gonna have fun! Come on, hey, remember the time (She starts laughing hysterically.) You dont remember?"
6386,8663,2,12,The Superbowl,Monica,"And then he told me he would run away with me, and he didn`t. [throws water in his face]"
29252,35985,6,24,"The Proposal, Part I & II",Chandler,"Richard! No one supposed to know about us! (Richard just smiles at him.) See I, did it again."
35600,43483,8,3,Rachel Tells...,Monica,"(to the couple) Hi! Can you do that and walk? Cause she said, `Next.`"
44430,54117,9,22,The Donor,Phoebe,"Oh... Mike`s sister just invited me to a party tonight, he`s gonna be there. And she was like `Oh, don`t worry! I asked him. He`s totally ok with seeing you!`. So now I have to go so he`ll think that I`m totally ok with seeing him!"
24367,30268,6,2,Ross Hugs Rachel,Phoebe,"Hmm, something bad to tell Rachel Bad news for Rachel, what could that be?!"
38135,46488,8,14,The Secret Closet,Monica,Okay.
25713,31722,6,8,Ross`s Teeth,Rachel,Oh my God. Did you talk to him?
25360,31347,6,6,On The Last Night,Joey,Yeah.
30990,37916,7,6,The Nap Partners,Phoebe,Ohh.
44472,54169,9,22,The Donor,Chandler,Not as much fun as last time. Apparently you only get porn if you`re giving a sperm sample.
28659,35202,6,21,Ross Meets Elizabeth`s Dad,Ross,(incredulous) In your mouth?!
26417,32580,6,11,The Apothecary Table,Phoebe,Well this doesnt even smell like opium.
35746,43655,8,3,Rachel Tells...,Ross,Do you really?
4614,6024,2,1,Ross`s New Girlfriend,Ross,"Yeah, it`s really 6:00 tomorrow night our time."
45732,55768,10,3,Ross`s Tan,Monica,When were we not friends?
30838,37762,7,6,The Nap Partners,Chandler,"No, no I only dated two girls in college, both blonde, both not attractive (Thinks a little while.) Hold on one second; let me check this out. (He gets up and grabs a photo album."
15070,19398,4,6,The Dirty Girl,Monica,And I`m a wuss. And we should be partners.
44260,53903,9,21,The Fertility Test,Joey,(looking puzzled and nodding) Ok!
7180,9590,2,16,Joey Moves Out,Joey,"Oh no-no, it`s uh, it`s not what you think. We uh, we used it to, you know, fling water balloons off the roof. Remember that, those junior high kids couldn`t even get theirs accross the street."
49205,59953,10,17,"The Last One, Part I & II",Rachel,What... What...
34223,41746,7,21,The Vows,Monica,"Please? Please?! We just don`t want to deal with telling everyone, okay? Just promise you won`t tell."
6758,9126,2,14,The Prom Video,Joey,Lookin` good Mr. Cotter.
4570,5964,1,24,Rachel Finds Out,Rachel,You know what?
43291,52787,9,17,The Memorial Service,Ross,"Unbelievable, my classmates are gonna think I`m dead, my professors, my... my parents are gonna get phone calls. You`re messing with people`s feelings here."
39155,47699,8,20,The Baby Shower,Phoebe,Im so glad you could make it.
31864,38944,7,11,All The Cheesecakes,Chandler,Ino! I didn`t read the box before I opened it. And you can`t return a box after you`ve opened the box.
26678,32870,6,12,The Joke,Joey,"Yeah, its for the kids. To keep the kids off drugs. Its a very important issue in this months Playboy. Im sure you all read about it."
32648,39902,7,14,They All Turn Thirty,Phoebe,"Like okay I-I-I, I havent met any Portuguese people! I, I havent had the perfect kiss! And I havent been to snipers school!"
24208,30103,6,1,Vegas,Monica,"This doesnt mean anything, does it?"
44657,54409,9,23,In Barbados,Ross,"Oh, right, because he`s a scientist!"
27450,33793,6,15,"That Could Have Been, Part I & II",Ross,How hot is this?!
26301,32452,6,11,The Apothecary Table,Chandler,"so then the farmer says, `Thats not a cow and youre not milking it.` (Everyone laughs.)"
40179,48961,9,1,No One Proposes,Rachel,Hey you.
25449,31436,6,7,Phoebe Runs,Rachel,"Wait, I-I just said `leave.`"
3891,5090,1,21,The Fake Monica,Ross,"(Reading letters) Oh God. (To Marcel) We didn`t get into Scranton. (To the others) That was like our safety zoo. They take like dogs and cows. See? I don`t know who this is harder on, me or him."
47522,57913,10,10,Chandler Gets Caught,Monica,"All right, everybody open them!"
33217,40596,7,16,The Truth About London,Rachel,Hey!
13350,17172,3,22,The Screamer,Ross,Umm
7844,10416,2,20,uld Yeller Dies,Joey,Ok. He kept my dollar.
34167,41690,7,21,The Vows,Chandler,You are so great! I love you!
49419,60194,10,17,"The Last One, Part I & II",Chandler,"Hey, you know what? Maybe we should keep them here with you."
35598,43480,8,3,Rachel Tells...,Chandler,"Oh honey, leave them alone, theyre in love."
12231,15718,3,17,The Ski Trip,Joey,"If you wanna get back in the car, we need the wire, your call."
10249,13324,3,8,The Giant Poking Device,Monica,"So, do you want me to watch Ben for you?"
44982,54849,9,23,In Barbados,Joey,"Oh well, she said we have nothing in common."
42462,51801,9,12,Phoebe`s Rats,Joey,Huh. Interesting. Now there are obstacles. Hot nanny and me against the world. This is the kind of stuff great novels are made of.
35590,43471,8,3,Rachel Tells...,Joey,"Yeah, I dont think thats what it is."
8620,11390,2,24,Barry And Mindy`s Wedding,Chandler,"Well, I think you should seriously consider the marriage thing, give Rachel another chance to dress up like Princess Bubble Yum."
31373,38373,7,8,Chandler Doesn`t Like Dogs,Chandler,Why not?
33567,41006,7,18,Joey`s Award,Joey,(To Rachel) This is it! This is my category.
6660,9023,2,14,The Prom Video,Chandler,"No, I`m alright, thanks."
41681,50781,9,7,Ross`s Inappropriate Song,Ross,Shake it!
11463,14784,3,13,Monica And Richard Are Just Friends,Monica,What are you smiling at?
23086,28834,5,21,The Ball,Joey,What the hell is that?!!
45647,55666,10,3,Ross`s Tan,Ross,You sprayed my front twice!
5658,7255,2,6,The Baby On The Bus,Joey,"Right. Ok, ok, uh, ducks is heads, because ducks have heads."
7417,9859,2,18,Dr. Ramoray Dies,Chandler,That was so lame.
20823,26239,5,11,All The Resulutions,Joey,Chandler.
20680,26065,5,10,The Inappropriate Sister,Joey,"Well, you suck! But at least you suck at a man`s game now."
16153,20709,4,12,The Embryos,Rachel,"Yeah, and none of these stupid grocery questions, real personal questions."
35549,43430,8,3,Rachel Tells...,Chandler,"(entering) Hey, what was that all about?"
5343,6887,2,5,Five Steaks And An Eggplant,Phoebe,Let`s see!
47023,57343,10,8,The Late Thanksgiving,Chandler,What`s going on?
42036,51300,9,9,Rachel`s Phone Number,Phoebe,"(knowingly chuckles) Oh, Mike. Bye."
28110,34546,6,19,Joey`s Fridge,Rachel,"Well, yknow its just been so long since Ive been to Chuckie Cheese."
21771,27290,5,15,The Girl Who Hits Joey,Phoebe,Yeah!
37065,45291,8,9,The Rumor,Rachel,Yes it is! I saw you guys going at it behind the card catalog!
13657,17637,3,24,The Ultimate Fighting Champion,Monica,Hey! (she sits down next to him) Its me. Mon-i-ca! Can I just tell you how proud I am of you.
29612,36412,7,1,Monica`s Thunder,Monica,Yknow what we should do? We should all get dressed up and go to have champagne at The Plaza.
30717,37620,7,5,The Engagement Picture,Phoebe,"Yeah well, she certainly knew what she was doing New Years Eve 1997."
43650,53189,9,18,The Lottery,Monica,Check your numbers! Make me rich!
39983,48719,8,23,Rachel Has A Baby,Rachel,I get it!
42775,52166,9,14,The Blind Dates,Ross,Why does everyone keep saying that?
2353,2905,1,12,The Dozen Lasagnas,Phoebe,"I think she took it pretty well. You know Paolo`s over there right now, so..."
36106,44045,8,5,Rachel`s Date,Chandler,Hey Bob.
